Source,Target,Label,Weight
1,10,-,1
10,11,-,1
11,12,-,1
12,13,-,1
13,14,-,1
14,15,-,1
15,16,-,1
16,17,-,1
17,18,-,1
18,19,-,1
19,20,s,440
20,21,s,1
20,22,s,1
20,23,s,431
23,24,f,430
24,25,f,429
25,26,s,414
26,27,-,413
27,28,-,412
28,29,-,411
29,30,-,410
30,31,-,409
31,32,s,382
32,33,s,17
33,34,s,8
34,35,s,1
34,36,s,1
34,37,s,1
34,38,s,1
34,39,s,1
34,40,s,1
34,41,s,1
33,42,s,5
42,43,s,1
42,44,s,1
42,45,s,1
42,46,s,1
33,47,s,1
33,48,s,1
33,49,s,1
32,50,s,364
50,51,s,13
51,52,desc.incl,1
51,53,desc.incl,1
51,54,desc.incl,1
51,55,desc.incl,1
51,56,desc.incl,8
56,57,s,7
57,58,s,6
58,59,s,5
59,60,s,4
60,61,s,3
61,62,s,2
62,63,s,1
50,64,s,28
64,65,desc,1
64,66,desc,1
64,67,desc,1
64,68,desc,1
64,69,desc,23
69,70,s,22
70,71,s,21
71,72,s,20
72,73,s,19
73,74,s,18
74,75,s,17
75,76,s,1
75,77,s,1
75,78,s,2
78,79,s,1
75,80,s,1
75,81,s,2
81,82,s,1
75,83,s,1
75,84,s,1
75,85,s,1
75,86,s,1
75,87,s,1
75,88,s,1
75,89,s,1
75,90,s,2
90,91,gs,1
64,92,s,1
64,93,s,291
93,94,s,1
93,95,s,1
93,96,s,9
96,97,desc,2
97,98,f,1
96,99,desc,3
99,100,f,1
99,101,f,1
96,102,desc,1
96,103,desc,1
96,104,desc,1
93,105,b,271
105,106,s,269
106,107,s,38
107,108,s,4
108,109,s,1
108,110,s,1
108,111,s,1
107,112,s,1
107,113,s,1
107,114,s,1
107,115,s,1
107,116,s,29
116,117,s,23
117,118,s,19
118,119,s,1
118,120,s,17
120,121,s,16
121,122,s,15
122,123,a,14
123,124,s,13
124,125,f,12
125,126,f,11
126,127,f,10
127,128,f,9
128,129,f,8
129,130,f,7
130,131,f,6
131,132,f,5
132,133,f,4
133,134,f,3
134,135,f,2
135,136,f,1
117,137,s,3
137,138,s,1
137,139,s,1
116,140,s,5
140,141,s,1
140,142,s,3
142,143,s,1
142,144,s,1
106,145,s,100
145,146,f,99
146,147,f,98
147,148,f,97
148,149,f,96
149,150,f,95
150,151,f,94
151,152,f,1
151,153,f,1
151,154,f,1
151,155,f,1
151,156,f,1
151,157,f,1
151,158,f,81
158,159,s,1
158,160,s,1
158,161,s,1
158,162,s,1
158,163,s,1
158,164,s,1
158,165,s,1
158,166,s,1
158,167,s,1
158,168,s,61
168,169,s,60
169,170,s,59
170,171,s,58
171,172,s,57
172,173,s,56
173,174,s,55
174,175,s,54
175,176,s,53
176,177,s,52
177,178,s,51
178,179,s,50
179,180,s,49
180,181,s,48
181,182,s,47
182,183,s,46
183,184,s,1
183,185,s,42
185,186,s,40
186,187,s,1
186,188,s,1
186,189,s,33
189,190,s,31
190,191,s,1
190,192,s,23
192,193,s,1
192,194,s,21
194,195,s,20
195,196,s,19
196,197,s,18
197,198,s,17
198,199,s,16
199,200,s,1
199,201,s,1
199,202,s,1
199,203,s,11
203,204,s,8
204,205,s,1
204,206,s,1
204,207,s,1
204,208,s,1
204,209,s,1
204,210,s,1
204,211,s,1
203,212,s,1
203,213,s,1
199,214,s,1
190,215,d,1
190,216,s,1
190,217,s,1
190,218,s,1
190,219,s,1
190,220,s,1
189,221,s,1
186,222,s,1
186,223,s,1
186,224,s,1
186,225,s,1
185,226,s,1
183,227,s,1
183,228,s,1
158,229,s,1
158,230,s,1
158,231,s,1
158,232,s,1
158,233,s,1
158,234,s,1
158,235,s,1
158,236,s,1
158,237,s,1
158,238,d,1
151,239,f,4
239,240,s,1
239,241,s,1
239,242,s,1
151,243,f,2
243,244,b,1
106,245,s,128
245,246,s,1
245,247,s,1
245,248,s,1
245,249,b,26
249,250,s,2
250,251,s,1
249,252,s,7
252,253,s,1
252,254,s,4
254,255,f,3
255,256,f,1
255,257,f,1
249,258,s,1
245,259,s,5
259,260,f,1
259,261,s,1
259,262,s,1
259,263,s,1
245,264,s,2
264,265,f,1
245,266,--,5
266,267,s,1
266,268,s,1
266,269,s,1
266,270,d,1
245,271,--,2
271,272,f,1
245,273,--,2
273,274,f,1
106,275,b,68
275,276,f,1
275,277,s,1
275,278,s,1
275,279,s,1
275,280,s,1
275,281,s,1
275,282,s,1
275,283,s,1
275,284,--,5
284,285,f,1
284,286,f,1
284,287,f,2
287,288,s,1
275,289,--,1
275,290,--,7
290,291,f,6
291,292,f,5
292,293,f,4
293,294,f,1
293,295,f,1
293,296,f,1
290,297,--,1
290,298,--,8
298,299,desc,4
299,300,desc,1
299,301,desc,2
301,302,f,1
298,303,desc,3
303,304,f,2
304,305,f,1
290,306,--,6
306,307,s,5
307,308,s,1
307,309,s,2
309,310,s,1
307,311,s,1
290,312,--,5
312,313,s,1
312,314,s,1
312,315,s,1
312,316,s,1
290,317,--,15
317,318,desc,1
317,319,desc,11
319,320,b,1
319,321,b,1
319,322,b,8
322,323,f,7
323,324,b,2
324,325,b,1
323,326,b,2
326,327,f,1
323,328,f,2
328,329,f,1
317,330,desc,1
317,331,desc,1
290,332,--,3
332,333,f,1
332,334,f,1
290,335,--,5
335,336,desc,1
335,337,desc,1
335,338,desc,1
335,339,desc,1
290,340,--,3
340,341,desc,1
340,342,desc,1
275,343,s,12
343,344,f,1
343,345,s,10
345,346,s,1
345,347,s,1
345,348,s,4
348,349,s,3
349,350,s,2
350,351,f,1
345,352,s,3
352,353,f,2
353,354,s,1
275,355,b,2
355,356,f,1
275,357,b,1
275,358,b,1
275,359,s,1
275,360,s,1
275,361,s,1
275,362,s,1
275,363,s,1
275,364,s,1
275,365,b,1
275,366,b,1
275,367,b,2
367,368,f,1
275,369,b,3
369,370,f,1
369,371,f,1
275,372,d,1
106,373,b,2
373,374,b,1
105,375,s,1
93,376,b,8
376,377,s,2
377,378,s,1
376,379,s,2
379,380,s,1
376,381,s,1
376,382,s,1
376,383,s,1
64,384,s,1
64,385,s,1
64,386,s,1
64,387,s,9
387,388,--,8
388,389,--,1
388,390,--,1
388,391,--,1
388,392,--,1
388,393,--,1
388,394,--,1
388,395,--,1
64,396,s,1
64,397,s,1
64,398,s,15
398,399,desc,1
398,400,desc,1
398,401,desc,8
401,402,rel,1
401,403,rel,1
401,404,rel,1
401,405,rel,1
401,406,rel,1
401,407,rel,1
401,408,rel,1
398,409,--,4
409,410,s,3
410,411,desc,2
411,412,s,1
64,413,s,1
32,414,s,13
414,415,s,1
414,416,s,1
414,417,s,1
414,418,s,1
414,419,s,1
414,420,s,1
414,421,s,1
414,422,s,1
414,423,s,1
414,424,s,1
414,425,s,1
414,426,s,1
32,427,s,1
32,428,s,3
428,429,s,1
428,430,s,1
32,431,s,1
32,432,s,6
432,433,s,1
432,434,s,1
432,435,s,1
432,436,s,1
432,437,s,1
32,438,s,1
32,439,s,1
26,440,s,14
440,441,f,1
440,442,f,1
440,443,f,1
440,444,f,1
440,445,f,1
440,446,f,1
440,447,f,1
440,448,f,1
440,449,f,1
440,450,f,1
440,451,f,1
440,452,f,1
440,453,f,1
23,454,s,1
23,455,s,5
455,456,s,1
455,457,s,1
455,458,s,1
455,459,s,1
20,460,s,59
460,461,s,9
461,462,s,1
461,463,s,1
461,464,s,1
461,465,s,3
465,466,s,1
465,467,s,1
461,468,s,1
461,469,f,1
460,470,s,8
470,471,f,1
470,472,f,1
470,473,f,1
470,474,f,1
470,475,f,1
470,476,f,1
470,477,f,1
460,478,s,1
460,479,s,40
479,480,f,1
479,481,f,1
479,482,f,1
479,483,f,1
479,484,f,1
479,485,f,29
485,486,--,28
486,487,s,4
487,488,s,1
487,489,s,1
487,490,s,1
486,491,s,6
491,492,s,1
491,493,s,1
491,494,s,1
491,495,s,1
491,496,s,1
486,497,s,3
497,498,s,1
497,499,s,1
486,500,s,6
500,501,s,5
501,502,s,1
501,503,s,1
501,504,s,1
501,505,s,1
486,506,s,1
486,507,s,4
507,508,s,1
507,509,s,1
507,510,s,1
486,511,s,3
511,512,s,1
511,513,s,1
479,514,f,1
479,515,f,1
479,516,f,1
479,517,f,1
479,518,f,1
20,519,s,1
519,520,s,4
520,521,s,1
520,522,s,1
520,523,s,1
519,524,s,1
519,525,s,1
