Id,Label,cOrder
10,Adam,1
11,Seth,2
12,Enosh,3
13,Kenan,4
14,Mahalalel,5
15,Jared,6
16,Enoch,7
17,Methuselah,8
18,Lamech,9
19,Noah,10
20,Shem,11
21,Elam,58
22,Asshur,59
23,Arpachshad,60
24,Shelah,67
25,Eber[4],68
26,Peleg[5],69
27,Reu,84
28,Serug,85
29,Nahor,86
30,Terah,87
31,Abram[7],88
32,Isaac,89
33,Esau,116
34,Eliphaz,118
35,Teman,123
36,Omar,124
37,Zephi,125
38,Gatam,126
39,Kenaz,127
40,Timna,128
41,Amalek,129
42,Reuel,119
43,Nahath,130
44,Zerah,131
45,Shammah,132
46,Mizzah,133
47,Jeush,120
48,Jalam,121
49,Korah,122
50,Israel,117
51,Reuben,143
52,Simeon,144
53,Levi,145
54,Judah,146
55,Er[17][18],155
56,Onan[17],156
57,Shelah[17],157
58,Perez[19],158
59,Hezron[26][29],160
60,Jerahmeel[8],161
61,Ram[8],193
62,Maaz,199
63,Jamin,200
64,Eker,201
65,Bunah,194
66,Oren,195
67,Ozem,196
68,Ahijah,197
69,Onam,198
70,Shammai,202
71,Nadab,204
72,Seled[34],208
73,Appaim,209
74,Ishi,210
75,Sheshan,211
76,Jarha[35],217
77,Attai[aka Ahlai],212
78,Nathan,218
79,Zabad,219
80,Ephlal,220
81,Obed,221
82,Jehu,222
83,Azariah,223
84,Helez,224
85,Eleasah,225
86,Sismai,226
87,Shallum,227
88,Jekamiah,228
89,Elishama,229
90,Abishur[33],205
91,Ahban,206
92,Molid,207
93,Jada,203
94,Jether[34],213
95,Jonathan,214
96,Peleth,215
97,Zaza,216
98,Ram,162
99,Amminadab,164
100,Nahshon[22],165
101,Salma,166
102,Boaz,167
103,Obed,168
104,Jesse[23],169
105,Eliab,170
106,Abinadab,171
107,Shimea,172
108,Nethanel,173
109,Raddai,174
110,Ozem,175
111,David[49],176
112,Amnon[42][48][52],269
113,Daniel[43][48][52],270
114,Absalom[44][48][52],280
115,Adonijah[45][48][52],281
116,Shephatiah[46][48][52],282
117,Ithream[47][48][52],283
118,Shimea[50][52],284
119,Shobab[50][52],285
120,Nathan[50][52],256
121,Solomon[50][52],287
122,Rehoboam,298
123,Abijah,299
124,Asa,300
125,Jehoshaphat,301
126,Joram,302
127,Ahaziah,303
128,Joash,304
129,Amaziah,305
130,Azariah,306
131,Jotham,307
132,Ahaz,308
133,Hezekiah,309
134,Manasseh,310
135,Amon,311
136,Josiah[23],312
137,Johanan,313
138,Jehoiakim,314
139,Jeconiah,317
140,Shealtiel(his son)[54],319
141,Malchiram[54],320
142,Pedaiah[54],321
143,Zerubbabel,326
144,Meshullam,328
145,Hananiah,329
146,Pelatiah,336
147,Jeshaiah,337
148,Rephaiah,338
149,Arnan,339
150,Obadiah,340
151,Shecaniah,341
152,Shemaiah[56],342
153,Hattush[56],343
154,Igal[56],344
155,Bariah[56],345
156,Neariah[56],346
157,Elioenai[57],347
158,Hodaviah[58],351
159,Eliashib[58],352
160,Pelaiah[58],353
161,Akkub[58],354
162,Johanan[58],355
163,Delaiah[58],356
164,Anani[58],357
165,Hizkiah[57],349
166,Azrikam[57],350
167,Shaphat[56],347
168,Shelomith[55],330
169,Hashubah,331
170,Ohel,332
171,Berechiah,333
172,Hasadiah,334
173,Jushab-hesed,335
174,Shimei,327
175,Shenazzar[54],322
176,Jekamiah[54],323
177,Hoshama[54],324
178,Nedabiah[54],325
179,Zedekiah,318
180,Zedekiah,315
181,Shallum,316
182,Ibhar[51][52],288
183,Elishama[51][52],289
184,Eliphelet[51][52],290
185,Nogah[51][52],291
186,Nepheg[51][52],292
187,Japhia[51][52],293
188,Elishama[51][52],294
189,Eliada[51][52],295
190,Eliphelet[51][52],296
191,Tamar[53],297
192,Zeruiah[24],177
193,Abishai,179
194,Joab,180
195,Asahel,181
196,Abigail[24],178
197,Amasa[25],182
198,Chelubai[26],163
199,Jesher,183
200,Shobab,184
201,Ardon,185
202,Hur[27],186
203,Uri,187
204,Bezalel,188
205,Shobal,259
206,Kiriath-jearim[40],260
207,Haroeh,264
208,half of the Menuhoth,265
209,Salma[41],260
210,Bethlehem,261
211,the Netophathites,266
212,Atroth-beth-joab,267
213,half of the Manahathites, the Zorites,268
214,Hareph,262
215,Beth-gader,263
216,Ashhur[32],191
